ODS,Year,Variable,Value
RQM,2014,Condition Appearance and Maintenance,0.9328
RQM,2014,Dementia,
RQM,2014,Disability,
RXA,2014,Cleanliness,0.9357
RXA,2014,Food,0.8416
RXA,2014,Organisation Food,
RXA,2014,Ward Food,
RXA,2014,"Privacy, Dignity and Wellbeing",0.8738
RXA,2014,Condition Appearance and Maintenance,0.9464
RXA,2014,Dementia,
RXA,2014,Disability,
RFS,2014,Cleanliness,0.9137
RFS,2014,Food,0.8252
RFS,2014,Organisation Food,
RFS,2014,Ward Food,
RFS,2014,"Privacy, Dignity and Wellbeing",0.8204
RFS,2014,Condition Appearance and Maintenance,0.8739
RFS,2014,Dementia,
RFS,2014,Disability,
RLN,2014,Cleanliness,0.9961
RLN,2014,Food,0.965
RLN,2014,Organisation Food,
RLN,2014,Ward Food,
RLN,2014,"Privacy, Dignity and Wellbeing",0.9432
RLN,2014,Condition Appearance and Maintenance,0.9669
RLN,2014,Dementia,
RLN,2014,Disability,
REN,2014,Cleanliness,0.9988
REN,2014,Food,0.9667
REN,2014,Organisation Food,
REN,2014,Ward Food,
REN,2014,"Privacy, Dignity and Wellbeing",0.9318
REN,2014,Condition Appearance and Maintenance,1
REN,2014,Dementia,
REN,2014,Disability,
RDE,2014,Cleanliness,0.9915
RDE,2014,Food,0.9084
RDE,2014,Organisation Food,
RDE,2014,Ward Food,
RDE,2014,"Privacy, Dignity and Wellbeing",0.9423
RDE,2014,Condition Appearance and Maintenance,0.9579
RDE,2014,Dementia,
RDE,2014,Disability,
RJ8,2014,Cleanliness,0.8577
RJ8,2014,Food,0.7457
RJ8,2014,Organisation Food,
RJ8,2014,Ward Food,
RJ8,2014,"Privacy, Dignity and Wellbeing",0.9461
RJ8,2014,Condition Appearance and Maintenance,0.911
RJ8,2014,Dementia,
RJ8,2014,Disability,
RJR,2014,Cleanliness,0.9957
RJR,2014,Food,0.9378
RJR,2014,Organisation Food,
RJR,2014,Ward Food,
RJR,2014,"Privacy, Dignity and Wellbeing",0.9035
RJR,2014,Condition Appearance and Maintenance,0.9415
RJR,2014,Dementia,
RJR,2014,Disability,
RXP,2014,Cleanliness,0.9909
RXP,2014,Food,0.9369
RXP,2014,Organisation Food,
RXP,2014,Ward Food,
RXP,2014,"Privacy, Dignity and Wellbeing",0.9086
RXP,2014,Condition Appearance and Maintenance,0.9487
RXP,2014,Dementia,
RXP,2014,Disability,
RYG,2014,Cleanliness,0.9969
RYG,2014,Food,0.9125
RYG,2014,Organisation Food,
RYG,2014,Ward Food,
RYG,2014,"Privacy, Dignity and Wellbeing",0.9199
RYG,2014,Condition Appearance and Maintenance,0.9647
RYG,2014,Dementia,
RYG,2014,Disability,
RJ6,2014,Cleanliness,0.9734
RJ6,2014,Food,0.8727
RJ6,2014,Organisation Food,
RJ6,2014,Ward Food,
RJ6,2014,"Privacy, Dignity and Wellbeing",0.8255
RJ6,2014,Condition Appearance and Maintenance,0.849
RJ6,2014,Dementia,
RJ6,2014,Disability,
RNN,2014,Cleanliness,0.9806
RNN,2014,Food,0.9141
RNN,2014,Organisation Food,
RNN,2014,Ward Food,
RNN,2014,"Privacy, Dignity and Wellbeing",0.8406
RNN,2014,Condition Appearance and Maintenance,0.9183
RNN,2014,Dementia,
RNN,2014,Disability,
RN7,2014,Cleanliness,0.9856
RN7,2014,Food,0.9097
RN7,2014,Organisation Food,
RN7,2014,Ward Food,
RN7,2014,"Privacy, Dignity and Wellbeing",0.8528
RN7,2014,Condition Appearance and Maintenance,0.9348
RN7,2014,Dementia,
RN7,2014,Disability,
RTG,2014,Cleanliness,0.9996
RTG,2014,Food,0.8722
RTG,2014,Organisation Food,
RTG,2014,Ward Food,
RTG,2014,"Privacy, Dignity and Wellbeing",0.9562
RTG,2014,Condition Appearance and Maintenance,0.9824
RTG,2014,Dementia,
RTG,2014,Disability,
RY8,2014,Cleanliness,0.9957
RY8,2014,Food,0.9495
RY8,2014,Organisation Food,
RY8,2014,Ward Food,
RY8,2014,"Privacy, Dignity and Wellbeing",0.891
RY8,2014,Condition Appearance and Maintenance,0.9653
RY8,2014,Dementia,
RY8,2014,Disability,
RXM,2014,Cleanliness,0.9875
RXM,2014,Food,0.9305
RXM,2014,Organisation Food,
RXM,2014,Ward Food,
RXM,2014,"Privacy, Dignity and Wellbeing",0.8961
RXM,2014,Condition Appearance and Maintenance,0.959
RXM,2014,Dementia,
RXM,2014,Disability,
RWV,2014,Cleanliness,0.9949
RWV,2014,Food,0.8704
RWV,2014,Organisation Food,
RWV,2014,Ward Food,
RWV,2014,"Privacy, Dignity and Wellbeing",0.9166
RWV,2014,Condition Appearance and Maintenance,0.9406
RWV,2014,Dementia,
RWV,2014,Disability,
RP5,2014,Cleanliness,0.9505
RP5,2014,Food,0.8793
RP5,2014,Organisation Food,
RP5,2014,Ward Food,
RP5,2014,"Privacy, Dignity and Wellbeing",0.7829
RP5,2014,Condition Appearance and Maintenance,0.9337
RP5,2014,Dementia,
RP5,2014,Disability,
RBD,2014,Cleanliness,0.9852
RBD,2014,Food,0.8966
RBD,2014,Organisation Food,
RBD,2014,Ward Food,
RBD,2014,"Privacy, Dignity and Wellbeing",0.9207
RBD,2014,Condition Appearance and Maintenance,0.9648
RBD,2014,Dementia,
RBD,2014,Disability,
RDY,2014,Cleanliness,0.9717
RDY,2014,Food,0.8757
RDY,2014,Organisation Food,
RDY,2014,Ward Food,
RDY,2014,"Privacy, Dignity and Wellbeing",0.8727
RDY,2014,Condition Appearance and Maintenance,0.9299
RDY,2014,Dementia,
RDY,2014,Disability,
RYK,2014,Cleanliness,0.9967
RYK,2014,Food,0.8797
RYK,2014,Organisation Food,
RYK,2014,Ward Food,
RYK,2014,"Privacy, Dignity and Wellbeing",0.8595
RYK,2014,Condition Appearance and Maintenance,0.9226
RYK,2014,Dementia,
RYK,2014,Disability,
RWH,2014,Cleanliness,0.9854
RWH,2014,Food,0.7993
RWH,2014,Organisation Food,
RWH,2014,Ward Food,
RWH,2014,"Privacy, Dignity and Wellbeing",0.8334
RWH,2014,Condition Appearance and Maintenance,0.8964
RWH,2014,Dementia,
RWH,2014,Disability,
RJN,2014,Cleanliness,0.9982
RJN,2014,Food,0.9434
RJN,2014,Organisation Food,
RJN,2014,Ward Food,
RJN,2014,"Privacy, Dignity and Wellbeing",0.9406
RJN,2014,Condition Appearance and Maintenance,0.9771
RJN,2014,Dementia,
RJN,2014,Disability,
RVV,2014,Cleanliness,0.9451
RVV,2014,Food,0.9114
RVV,2014,Organisation Food,
RVV,2014,Ward Food,
RVV,2014,"Privacy, Dignity and Wellbeing",0.8246
RVV,2014,Condition Appearance and Maintenance,0.9032
RVV,2014,Dementia,
RVV,2014,Disability,
RXR,2014,Cleanliness,0.9168
RXR,2014,Food,0.8574
RXR,2014,Organisation Food,
RXR,2014,Ward Food,
RXR,2014,"Privacy, Dignity and Wellbeing",0.8737
RXR,2014,Condition Appearance and Maintenance,0.8716
RXR,2014,Dementia,
RXR,2014,Disability,
RWK,2014,Cleanliness,0.9981
RWK,2014,Food,0.9281
RWK,2014,Organisation Food,
RWK,2014,Ward Food,
RWK,2014,"Privacy, Dignity and Wellbeing",0.9197
RWK,2014,Condition Appearance and Maintenance,0.9706
RWK,2014,Dementia,
RWK,2014,Disability,
RXC,2014,Cleanliness,0.9642
RXC,2014,Food,0.9108
RXC,2014,Organisation Food,
RXC,2014,Ward Food,
RXC,2014,"Privacy, Dignity and Wellbeing",0.8426
RXC,2014,Condition Appearance and Maintenance,0.9035
RXC,2014,Dementia,
RXC,2014,Disability,
RVR,2014,Cleanliness,0.987
RVR,2014,Food,0.9177
RVR,2014,Organisation Food,
RVR,2014,Ward Food,
RVR,2014,"Privacy, Dignity and Wellbeing",0.8531
RVR,2014,Condition Appearance and Maintenance,0.9123
RVR,2014,Dementia,
RVR,2014,Disability,
RDU,2014,Cleanliness,0.9988
RDU,2014,Food,0.8882
RDU,2014,Organisation Food,
RDU,2014,Ward Food,
RDU,2014,"Privacy, Dignity and Wellbeing",0.8857
RDU,2014,Condition Appearance and Maintenance,0.9691
RDU,2014,Dementia,
RDU,2014,Disability,
RR7,2014,Cleanliness,0.9964
RR7,2014,Food,0.8914
RR7,2014,Organisation Food,
RR7,2014,Ward Food,
RR7,2014,"Privacy, Dignity and Wellbeing",0.9079
RR7,2014,Condition Appearance and Maintenance,0.9433
RR7,2014,Dementia,
RR7,2014,Disability,
RLT,2014,Cleanliness,0.9886
RLT,2014,Food,0.8746
RLT,2014,Organisation Food,
RLT,2014,Ward Food,
RLT,2014,"Privacy, Dignity and Wellbeing",0.8105
RLT,2014,Condition Appearance and Maintenance,0.9101
RLT,2014,Dementia,
RLT,2014,Disability,
RTE,2014,Cleanliness,0.962
RTE,2014,Food,0.8443
RTE,2014,Organisation Food,
RTE,2014,Ward Food,
RTE,2014,"Privacy, Dignity and Wellbeing",0.8476
RTE,2014,Condition Appearance and Maintenance,0.8804
RTE,2014,Dementia,
RTE,2014,Disability,
RP4,2014,Cleanliness,0.968
RP4,2014,Food,0.9282
RP4,2014,Organisation Food,
RP4,2014,Ward Food,
RP4,2014,"Privacy, Dignity and Wellbeing",0.9415
RP4,2014,Condition Appearance and Maintenance,0.9373
RP4,2014,Dementia,
RP4,2014,Disability,
RN3,2014,Cleanliness,0.9625
RN3,2014,Food,0.872
RN3,2014,Organisation Food,
RN3,2014,Ward Food,
RN3,2014,"Privacy, Dignity and Wellbeing",0.861
RN3,2014,Condition Appearance and Maintenance,0.9185
RN3,2014,Dementia,
RN3,2014,Disability,
RXV,2014,Cleanliness,0.9996
RXV,2014,Food,0.9445
RXV,2014,Organisation Food,
RXV,2014,Ward Food,
RXV,2014,"Privacy, Dignity and Wellbeing",0.9518
RXV,2014,Condition Appearance and Maintenance,0.981
RXV,2014,Dementia,
RXV,2014,Disability,
RJ1,2014,Cleanliness,0.9938
RJ1,2014,Food,0.9086
RJ1,2014,Organisation Food,
RJ1,2014,Ward Food,
RJ1,2014,"Privacy, Dignity and Wellbeing",0.928
RJ1,2014,Condition Appearance and Maintenance,0.9523
RJ1,2014,Dementia,
RJ1,2014,Disability,
RN5,2014,Cleanliness,0.9435
RN5,2014,Food,0.7746
RN5,2014,Organisation Food,
RN5,2014,Ward Food,
RN5,2014,"Privacy, Dignity and Wellbeing",0.8242
RN5,2014,Condition Appearance and Maintenance,0.8826
RN5,2014,Dementia,
RN5,2014,Disability,
RCD,2014,Cleanliness,0.9942
RCD,2014,Food,0.9464
RCD,2014,Organisation Food,
RCD,2014,Ward Food,
RCD,2014,"Privacy, Dignity and Wellbeing",0.8512
RCD,2014,Condition Appearance and Maintenance,0.9613
RCD,2014,Dementia,
RCD,2014,Disability,
RR1,2014,Cleanliness,0.9506
RR1,2014,Food,0.8799
RR1,2014,Organisation Food,
RR1,2014,Ward Food,
RR1,2014,"Privacy, Dignity and Wellbeing",0.8054
RR1,2014,Condition Appearance and Maintenance,0.8804
RR1,2014,Dementia,
RR1,2014,Disability,
RY4,2014,Cleanliness,0.9528
RY4,2014,Food,0.8414
RY4,2014,Organisation Food,
RY4,2014,Ward Food,
RY4,2014,"Privacy, Dignity and Wellbeing",0.7629
RY4,2014,Condition Appearance and Maintenance,0.8228
RY4,2014,Dementia,
RY4,2014,Disability,
RWR,2014,Cleanliness,0.9844
RWR,2014,Food,0.9065
RWR,2014,Organisation Food,
RWR,2014,Ward Food,
RWR,2014,"Privacy, Dignity and Wellbeing",0.8764
RWR,2014,Condition Appearance and Maintenance,0.9351
RWR,2014,Dementia,
RWR,2014,Disability,
RQQ,2014,Cleanliness,0.9855
RQQ,2014,Food,0.9334
RQQ,2014,Organisation Food,
RQQ,2014,Ward Food,
RQQ,2014,"Privacy, Dignity and Wellbeing",0.9624
RQQ,2014,Condition Appearance and Maintenance,0.9236
RQQ,2014,Dementia,
RQQ,2014,Disability,
RQX,2014,Cleanliness,0.9895
RQX,2014,Food,0.822
RQX,2014,Organisation Food,
RQX,2014,Ward Food,
RQX,2014,"Privacy, Dignity and Wellbeing",0.8148
RQX,2014,Condition Appearance and Maintenance,0.8916
RQX,2014,Dementia,
RQX,2014,Disability,
RY9,2014,Cleanliness,0.9766
RY9,2014,Food,0.9266
RY9,2014,Organisation Food,
RY9,2014,Ward Food,
RY9,2014,"Privacy, Dignity and Wellbeing",0.9303
RY9,2014,Condition Appearance and Maintenance,0.9767
RY9,2014,Dementia,
RY9,2014,Disability,
RWA,2014,Cleanliness,0.9674
RWA,2014,Food,0.8805
RWA,2014,Organisation Food,
RWA,2014,Ward Food,
RWA,2014,"Privacy, Dignity and Wellbeing",0.8611
RWA,2014,Condition Appearance and Maintenance,0.8311
RWA,2014,Dementia,
RWA,2014,Disability,
RV9,2014,Cleanliness,0.9921
RV9,2014,Food,0.9304
RV9,2014,Organisation Food,
RV9,2014,Ward Food,
RV9,2014,"Privacy, Dignity and Wellbeing",0.8624
RV9,2014,Condition Appearance and Maintenance,0.8676
RV9,2014,Dementia,
RV9,2014,Disability,
RYJ,2014,Cleanliness,0.9819
RYJ,2014,Food,0.8818
RYJ,2014,Organisation Food,
RYJ,2014,Ward Food,
RYJ,2014,"Privacy, Dignity and Wellbeing",0.7775
RYJ,2014,Condition Appearance and Maintenance,0.8726
RYJ,2014,Dementia,
RYJ,2014,Disability,
RGQ,2014,Cleanliness,0.9573
RGQ,2014,Food,0.7805
RGQ,2014,Organisation Food,
RGQ,2014,Ward Food,
RGQ,2014,"Privacy, Dignity and Wellbeing",0.8553
RGQ,2014,Condition Appearance and Maintenance,0.8605
RGQ,2014,Dementia,
RGQ,2014,Disability,
R1F,2014,Cleanliness,0.9622
R1F,2014,Food,0.7781
R1F,2014,Organisation Food,
R1F,2014,Ward Food,
R1F,2014,"Privacy, Dignity and Wellbeing",0.8938
R1F,2014,Condition Appearance and Maintenance,0.9124
R1F,2014,Dementia,
R1F,2014,Disability,
RGP,2014,Cleanliness,0.9856
RGP,2014,Food,0.8743
RGP,2014,Organisation Food,
RGP,2014,Ward Food,
RGP,2014,"Privacy, Dignity and Wellbeing",0.8097
RGP,2014,Condition Appearance and Maintenance,0.9366
RGP,2014,Dementia,
RGP,2014,Disability,
RXY,2014,Cleanliness,0.8973
RXY,2014,Food,0.8175
RXY,2014,Organisation Food,
RXY,2014,Ward Food,
RXY,2014,"Privacy, Dignity and Wellbeing",0.841
RXY,2014,Condition Appearance and Maintenance,0.8219
RXY,2014,Dementia,
RXY,2014,Disability,
RYY,2014,Cleanliness,0.9309
RYY,2014,Food,0.9048
RYY,2014,Organisation Food,
RYY,2014,Ward Food,
RYY,2014,"Privacy, Dignity and Wellbeing",0.7356
RYY,2014,Condition Appearance and Maintenance,0.827
RYY,2014,Dementia,
RYY,2014,Disability,
RNQ,2014,Cleanliness,0.955
RNQ,2014,Food,0.8532
RNQ,2014,Organisation Food,
RNQ,2014,Ward Food,
RNQ,2014,"Privacy, Dignity and Wellbeing",0.7534
RNQ,2014,Condition Appearance and Maintenance,0.9048
RNQ,2014,Dementia,
RNQ,2014,Disability,
RJZ,2014,Cleanliness,0.9103
RJZ,2014,Food,0.8812
RJZ,2014,Organisation Food,
RJZ,2014,Ward Food,
RJZ,2014,"Privacy, Dignity and Wellbeing",0.8013
RJZ,2014,Condition Appearance and Maintenance,0.8035
RJZ,2014,Dementia,
RJZ,2014,Disability,
RAX,2014,Cleanliness,0.9626
RAX,2014,Food,0.7192
RAX,2014,Organisation Food,
RAX,2014,Ward Food,
RAX,2014,"Privacy, Dignity and Wellbeing",0.8778
RAX,2014,Condition Appearance and Maintenance,0.9003
RAX,2014,Dementia,
RAX,2014,Disability,
RW5,2014,Cleanliness,0.9814
RW5,2014,Food,0.9452
RW5,2014,Organisation Food,
RW5,2014,Ward Food,
RW5,2014,"Privacy, Dignity and Wellbeing",0.9339
RW5,2014,Condition Appearance and Maintenance,0.937
RW5,2014,Dementia,
RW5,2014,Disability,
RXN,2014,Cleanliness,0.9992
RXN,2014,Food,0.9126
RXN,2014,Organisation Food,
RXN,2014,Ward Food,
RXN,2014,"Privacy, Dignity and Wellbeing",0.9221
RXN,2014,Condition Appearance and Maintenance,0.9729
RXN,2014,Dementia,
RXN,2014,Disability,
RGD,2014,Cleanliness,0.9745
RGD,2014,Food,0.9307
RGD,2014,Organisation Food,
RGD,2014,Ward Food,
RGD,2014,"Privacy, Dignity and Wellbeing",0.9142
RGD,2014,Condition Appearance and Maintenance,0.9416
RGD,2014,Dementia,
RGD,2014,Disability,
RY6,2014,Cleanliness,0.8508
RY6,2014,Food,0.8891
RY6,2014,Organisation Food,
RY6,2014,Ward Food,
RY6,2014,"Privacy, Dignity and Wellbeing",0.8238
RY6,2014,Condition Appearance and Maintenance,0.8908
RY6,2014,Dementia,
RY6,2014,Disability,
RR8,2014,Cleanliness,0.9926
RR8,2014,Food,0.8831
RR8,2014,Organisation Food,
RR8,2014,Ward Food,
RR8,2014,"Privacy, Dignity and Wellbeing",0.8706
RR8,2014,Condition Appearance and Maintenance,0.9196
RR8,2014,Dementia,
RR8,2014,Disability,
RT5,2014,Cleanliness,0.9861
RT5,2014,Food,0.8798
RT5,2014,Organisation Food,
RT5,2014,Ward Food,
RT5,2014,"Privacy, Dignity and Wellbeing",0.8177
RT5,2014,Condition Appearance and Maintenance,0.8827
RT5,2014,Dementia,
RT5,2014,Disability,
RY5,2014,Cleanliness,0.9254
RY5,2014,Food,0.9175
RY5,2014,Organisation Food,
RY5,2014,Ward Food,
RY5,2014,"Privacy, Dignity and Wellbeing",0.7869
RY5,2014,Condition Appearance and Maintenance,0.843
RY5,2014,Dementia,
RY5,2014,Disability,
RP7,2014,Cleanliness,0.9925
RP7,2014,Food,0.8747
RP7,2014,Organisation Food,
RP7,2014,Ward Food,
RP7,2014,"Privacy, Dignity and Wellbeing",0.8813
RP7,2014,Condition Appearance and Maintenance,0.9292
RP7,2014,Dementia,
RP7,2014,Disability,
RY1,2014,Cleanliness,0.9975
RY1,2014,Food,0.9742
RY1,2014,Organisation Food,
RY1,2014,Ward Food,
RY1,2014,"Privacy, Dignity and Wellbeing",0.9631
